,S.N.,Question,Option A,b,c,d,correct
0,1,Device that converts electrical energy into mechanical energy is,Ac generator,,,,
1,2,Alternative current generator is basically based upon,Amperes law,,,,
2,3,"In alternative current generator, ac current reverses its direction",20 times per second,,,,
3,4,"""a current carrying coil placed in magnetic field experiences force"", device that proves this law is",Dc generator,,,,
4,5,"At a particular instant, acceleration of a body is called",Instantaneous acceleration,,,,
5,6,Rate of change of velocity of body is represented as,(v₁ + v₂)/t,,,,
6,7,Rate of change of velocity of body is said to be,Displacement,,,,
7,8,Acceleration produced in a body is the,Scalar quantity,,,,
8,9,"In system international, angular acceleration is measured in",Degree per second,,,,
9,10,Rate at which angular velocity changes with time is called,Angular displacement,,,,
10,11,"When axis of rotation is fixed, angular velocity is considered as",Scalar quantity,,,,
11,12,Linear equations of motion are,Two,,,,
12,13,"In a spaceship, objects revolving around earth appears to be",Small,,,,
13,14,"In a circular motion, direction of motion",Changes continuously,,,,
14,15,First linear equation of motion is represented as,Vi = vf + at,,,,
15,16,Angular displacement is defined by units,Revolution,,,,
16,17,One radian is equal to angle of,57.3°,,,,
17,18,One revolution is equal to angle of,90°,,,,
18,19,"For very small values of angles, angular displacement is",Scalar quantity,,,,
19,20,"In system international, angular velocity is measured in",Degree per second,,,,
20,21,Revolution per minute is system international unit of the,Angular displacement,,,,
21,22,Rate at which angular displacement changes with time is called,Angular displacement,,,,
22,23,Venturi relation is one of applications of,Equation of continuity,,,,
23,24,Density of aluminum is round about equal to,2.7 g cm⁻³,,,,
24,25,Torricelli's theorem is one of applications of,Equation of continuity,,,,
25,26,"According to bernoulli's equation, where speed is high, pressure will be",High,,,,
26,27,"To provide artificial gravity to spaceship, frequency needed is",F = 3.14g/2r,,,,
27,28,In rotating space to keep a body moving in a circular path centripetal force is provided by the,Surface of rotating space,,,,
28,29,Gravity created by some source is called,Large gravity,,,,
29,30,Gps that tracks location is an abbreviation of,Global pointing system,,,,
30,31,Minimum velocity to put a satellite into orbital motion is,7.9 km s⁻¹,,,,
31,32,Chimney works best on principle of,Equation of continuity,,,,
32,33,Change in potential energy is measured as difference of,Mgf,,,,
33,34,Density of air is round about equal to,1.2041 kg m⁻³,,,,
34,35,Fundamental equation that relates pressure to fluid's speed and height is known as,Equation of continuity,,,,
35,36,Change in kinetic energy is measured as difference of,1/2(mv)²,,,,
36,37,Energy in a capacitor can be stored in form of,1/2 cv²,,,,
37,38,"Device that is used to store charge, is named as",Capacitor,,,,
38,39,1 µf of capacitance is equal to,10⁻² f,,,,
39,40,Capacitor is used to store electric,Charge,,,,
40,41,Ability of capacitor to store charge is measured as its,Performance,,,,
41,42,Force that bends straight path of object into circular path is known as,Linear force,,,,
42,43,"Two cylinders of equal masses, one will have a greater rotational inertia if it has",Smaller diameter,,,,
43,44,Curved flights at high speed requires centripetal force that is,Small,,,,
44,45,Centripetal force has same direction as the,Centripetal velocity,,,,
45,46,1 ghz of frequency is equal to,107 hz,,,,
46,47,Rays that travel in a narrow beam and easily pass through atmosphere of earth are,Microwaves,,,,
47,48,A satellite covers longitude of earth up to,110°,,,,
48,49,Whole world can be covered with,2 geo-stationary satellites,,,,
49,50,Intelsat iv telecommunication satellite has a capacity of handling,1 tv channels,,,,
50,51,Total energy of a body is sum of,Kinetic energies,,,,
51,52,A nonrenewable energy is,Wind,,,,
52,53,"""energy can neither be created nor be destroyed, but it can be changed from one form to another"", this law is known as",Kinetic energy,,,,
53,54,Source of geothermal energy is,Sun,,,,
54,55,One of energies that is known as renewable energy is,Coal,,,,
55,56,"Law stating that ""force is directly proportional to product of charges and inversely proportional to square of separation between them"" is called",Newton's law,,,,
56,57,"Two positive charges q1 = 16 c and q2 = 4 c, separated by a diameter of 3 m will produce force of",40 n,,,,
57,58,Formula that describes statement of coulomb's law is,F = kq1q2/r²,,,,
58,59,Value of constant k in coulomb's law has value of,9x10³,,,,
59,60,Electric charges under action of electric forces is called,Electrostatic,,,,
60,61,Cross product of two vectors is represented by,A.b,,,,
61,62,Magnitude of displacement from initial position to final position is the,Straight line,,,,
62,63,Change from initial position to final position is called,Displacement,,,,
63,64,When a body moves from one position to another change is called,Displacement,,,,
64,65,Equation d = r2-r1 is referred to as body's,Displacement,,,,
65,66,"When no kinetic energy is lost, collision is said to be",Inelastic,,,,
66,67,Inelastic collision is collision in which kinetic energy is,Conserved,,,,
67,68,Elastic collision is collision in which kinetic energy is,Conserved,,,,
68,69,Gravitational and electric forces are inversely proportional to,Distance,,,,
69,70,Gravitational force is force that is always,Repulsive,,,,
70,71,Electric force between two charges is similar to gravitational force between,Two point charges,,,,
71,72,Printer that uses electric charges is called,Inkjet printer,,,,
72,73,"In region of any positive point charge, other positive point charge feels",Attractive force,,,,
73,74,Electric field lines exerting force on a charge are also known as,Force of lines,,,,
74,75,"In inkjet printer, net charges are diverted by deflection plates towards",Paper,,,,
75,76,Map of electric field lines provides information of electric fields',Direction,,,,
76,77,Flux will be minimum when electric field lines to area are,Parallel,,,,
77,78,Number of field lines passing at certain area are known as,Electric field,,,,
78,79,System international unit of electric flux is,Nm²c-1,,,,
79,80,"If electric field lines are parallel to area, electric flux will be",Min,,,,
80,81,Shark can detect potential difference of its prey up to sensitivity of,Micro volt,,,,
