,Rooms,Price,Date,Distance
0,2,1480000.0,3/12/2016,2.5
1,2,1035000.0,4/02/2016,2.5
2,3,1465000.0,4/03/2017,2.5
3,3,850000.0,4/03/2017,2.5
4,4,1600000.0,4/06/2016,2.5
5,2,941000.0,7/05/2016,2.5
6,3,1876000.0,7/05/2016,2.5
7,2,1636000.0,8/10/2016,2.5
8,1,300000.0,8/10/2016,2.5
9,2,1097000.0,8/10/2016,2.5
10,2,700000.0,12/11/2016,2.5
11,3,1350000.0,12/11/2016,2.5
12,2,750000.0,12/11/2016,2.5
13,2,1172500.0,13/08/2016,2.5
14,1,441000.0,14/05/2016,2.5
15,2,1310000.0,15/10/2016,2.5
16,3,1200000.0,16/07/2016,2.5
17,3,1176500.0,16/07/2016,2.5
18,3,955000.0,17/09/2016,2.5
19,2,890000.0,17/09/2016,2.5
20,4,1330000.0,18/03/2017,2.5
21,3,900000.0,18/03/2017,2.5
22,3,1090000.0,18/03/2017,2.5
23,2,500000.0,18/06/2016,2.5
24,2,1100000.0,18/06/2016,2.5
25,2,1315000.0,19/11/2016,2.5
26,1,426000.0,22/08/2016,2.5
27,3,1447500.0,22/08/2016,2.5
28,1,457000.0,22/08/2016,2.5
29,2,1135000.0,22/08/2016,2.5
30,4,1542000.0,24/09/2016,2.5
31,3,1290000.0,25/02/2017,2.5
32,3,1290000.0,25/02/2017,2.5
33,1,470000.0,26/07/2016,2.5
34,2,1180000.0,27/11/2016,2.5
35,3,1195000.0,27/11/2016,2.5
36,2,1012500.0,28/05/2016,2.5
37,2,1030000.0,30/07/2016,2.5
38,3,840000.0,3/09/2016,13.5
39,3,730000.0,3/12/2016,13.5
40,3,770000.0,4/03/2017,13.5
41,2,603000.0,4/03/2017,13.5
42,3,700000.0,4/03/2017,13.5
43,3,600000.0,4/03/2017,13.5
44,2,500000.0,4/03/2017,13.5
45,3,720000.0,6/08/2016,13.5
46,4,785000.0,6/08/2016,13.5
47,6,725000.0,7/05/2016,13.5
48,2,450000.0,7/05/2016,13.5
49,2,515000.0,7/11/2016,13.5
50,2,530000.0,10/09/2016,13.5
51,3,895000.0,10/09/2016,13.5
52,3,805000.0,10/12/2016,13.5
53,3,752000.0,11/02/2017,13.5
54,2,440000.0,13/08/2016,13.5
55,5,755000.0,14/05/2016,13.5
56,3,700000.0,15/10/2016,13.5
57,3,830000.0,16/04/2016,13.5
58,2,462500.0,16/07/2016,13.5
59,3,670000.0,16/07/2016,13.5
60,2,675000.0,16/07/2016,13.5
61,3,1042000.0,16/07/2016,13.5
62,3,910000.0,17/09/2016,13.5
63,4,773000.0,17/09/2016,13.5
64,3,810000.0,18/03/2017,13.5
65,3,715000.0,18/03/2017,13.5
66,3,790000.0,18/03/2017,13.5
67,3,540000.0,18/06/2016,13.5
68,3,825000.0,19/11/2016,13.5
69,3,685000.0,22/05/2016,13.5
70,3,805000.0,22/08/2016,13.5
71,2,510000.0,22/08/2016,13.5
72,3,612000.0,22/08/2016,13.5
73,3,662000.0,23/04/2016,13.5
74,4,978000.0,24/09/2016,13.5
75,3,720000.0,25/02/2017,13.5
76,4,765000.0,27/11/2016,13.5
77,4,900000.0,27/11/2016,13.5
78,2,1275000.0,3/09/2016,3.3
79,2,1455000.0,3/09/2016,3.3
80,3,2850000.0,4/03/2017,3.3
81,3,1850000.0,4/03/2017,3.3
82,2,1436000.0,4/03/2017,3.3
83,2,1110000.0,6/08/2016,3.3
84,2,1550000.0,7/05/2016,3.3
85,4,2300000.0,7/05/2016,3.3
86,3,1550000.0,7/11/2016,3.3
87,3,1800000.0,7/11/2016,3.3
88,2,2120000.0,10/09/2016,3.3
89,3,1800000.0,10/09/2016,3.3
90,3,1800000.0,10/09/2016,3.3
91,2,1810000.0,10/12/2016,3.3
92,3,2615000.0,10/12/2016,3.3
93,5,2100000.0,10/12/2016,3.3
94,3,1300000.0,10/12/2016,3.3
95,3,1370000.0,12/06/2016,3.3
96,2,1000000.0,12/11/2016,3.3
97,3,2575000.0,15/10/2016,3.3
98,2,1322500.0,15/10/2016,3.3
99,2,1562500.0,15/10/2016,3.3
100,3,2000000.0,16/04/2016,3.3
101,3,1900000.0,18/03/2017,3.3
102,3,3010000.0,18/03/2017,3.3
103,4,2800000.0,18/06/2016,3.3
104,2,647000.0,22/05/2016,3.3
105,3,2100000.0,23/04/2016,3.3
106,3,2000000.0,24/09/2016,3.3
107,1,442500.0,25/02/2017,3.3
108,4,4735000.0,25/02/2017,3.3
109,2,1340000.0,25/02/2017,3.3
110,3,1801000.0,25/02/2017,3.3
111,3,1532000.0,26/07/2016,3.3
112,3,3755000.0,26/07/2016,3.3
113,4,2140000.0,27/06/2016,3.3
114,2,1750000.0,27/11/2016,3.3
115,2,980000.0,28/05/2016,3.3
116,3,2030000.0,28/08/2016,3.3
117,3,1740000.0,28/08/2016,3.3
118,3,2800000.0,30/07/2016,3.3
119,1,985000.0,30/07/2016,3.3
120,4,2000000.0,3/09/2016,6.4
121,3,1110000.0,3/09/2016,6.4
122,3,1492000.0,4/03/2017,6.4
123,4,1717500.0,8/10/2016,6.4
124,5,2840000.0,12/06/2016,6.4
125,2,525500.0,12/11/2016,6.4
126,2,805000.0,12/11/2016,6.4
127,2,465000.0,12/11/2016,6.4
128,3,2000000.0,15/10/2016,6.4
129,3,1540000.0,16/04/2016,6.4
130,2,820000.0,18/03/2017,6.4
131,4,1830000.0,19/11/2016,6.4
132,4,2100000.0,19/11/2016,6.4
133,3,865000.0,22/05/2016,6.4
134,2,390000.0,22/05/2016,6.4
135,2,650000.0,24/09/2016,6.4
136,2,512000.0,25/02/2017,6.4
137,3,1165000.0,27/06/2016,6.4
138,4,1900000.0,27/11/2016,6.4
139,3,1485000.0,28/08/2016,6.4
